,session_key,driver_number,full_name,team_name
135,7953,4,Lando NORRIS,
139,7953,16,Charles LECLERC,
144,7953,23,Alexander ALBON,
235,7779,4,Lando NORRIS,
239,7779,16,Charles LECLERC,
244,7779,23,Alexander ALBON,
335,7787,4,Lando NORRIS,McLaren
339,7787,16,Charles LECLERC,Ferrari
344,7787,23,Alexander ALBON,Williams
414,9070,4,Lando NORRIS,
418,9070,16,Charles LECLERC,
423,9070,23,Alexander ALBON,
534,9078,4,Lando NORRIS,McLaren
538,9078,16,Charles LECLERC,Ferrari
543,9078,23,Alexander ALBON,Williams
634,9094,4,Lando NORRIS,McLaren
638,9094,16,Charles LECLERC,Ferrari
643,9094,23,Alexander ALBON,Williams
734,9102,4,Lando NORRIS,McLaren
738,9102,16,Charles LECLERC,Ferrari
743,9102,23,Alexander ALBON,Williams
834,9110,4,Lando NORRIS,McLaren
838,9110,16,Charles LECLERC,Ferrari
843,9110,23,Alexander ALBON,Williams
894,9118,4,Lando NORRIS,McLaren
898,9118,16,Charles LECLERC,Ferrari
903,9118,23,Alexander ALBON,Williams
1014,9126,4,Lando NORRIS,
1018,9126,16,Charles LECLERC,
1023,9126,23,Alexander ALBON,
1095,9133,4,Lando NORRIS,
1099,9133,16,Charles LECLERC,
1103,9133,23,Alexander ALBON,
1210,9141,4,Lando NORRIS,
1214,9141,16,Charles LECLERC,
1218,9141,23,Alexander ALBON,
1329,9149,4,Lando NORRIS,McLaren
1333,9149,16,Charles LECLERC,Ferrari
1337,9149,23,Alexander ALBON,Williams
1429,9157,4,Lando NORRIS,
1433,9157,16,Charles LECLERC,
1437,9157,23,Alexander ALBON,
1529,9165,4,Lando NORRIS,McLaren
1533,9165,16,Charles LECLERC,Ferrari
1536,9165,23,Alexander ALBON,Williams
1628,9173,4,Lando NORRIS,McLaren
1632,9173,16,Charles LECLERC,Ferrari
1636,9173,23,Alexander ALBON,Williams
1708,9221,4,Lando NORRIS,McLaren
1712,9221,16,Charles LECLERC,Ferrari
1716,9221,23,Alexander ALBON,Williams
1809,9213,4,Lando NORRIS,McLaren
1813,9213,16,Charles LECLERC,Ferrari
1817,9213,23,Alexander ALBON,Williams
1929,9181,4,Lando NORRIS,McLaren
1933,9181,16,Charles LECLERC,Ferrari
1937,9181,23,Alexander ALBON,Williams
1989,9205,4,Lando NORRIS,McLaren
1993,9205,16,Charles LECLERC,Ferrari
1997,9205,23,Alexander ALBON,Williams
2109,9189,4,Lando NORRIS,McLaren
2113,9189,16,Charles LECLERC,Ferrari
2117,9189,23,Alexander ALBON,Williams
2229,9197,4,Lando NORRIS,McLaren
2233,9197,16,Charles LECLERC,Ferrari
2237,9197,23,Alexander ALBON,Williams
2329,9472,4,Lando NORRIS,McLaren
2333,9472,16,Charles LECLERC,Ferrari
2337,9472,23,Alexander ALBON,Williams
2429,9480,4,Lando NORRIS,McLaren
2433,9480,16,Charles LECLERC,Ferrari
2437,9480,23,Alexander ALBON,Williams
2526,9488,4,Lando NORRIS,McLaren
2530,9488,16,Charles LECLERC,Ferrari
2534,9488,23,Alexander ALBON,Williams
2626,9496,4,Lando NORRIS,McLaren
2630,9496,16,Charles LECLERC,Ferrari
2634,9496,23,Alexander ALBON,Williams
2726,9673,4,Lando NORRIS,McLaren
2730,9673,16,Charles LECLERC,Ferrari
2734,9673,23,Alexander ALBON,Williams
2826,9507,4,Lando NORRIS,McLaren
2830,9507,16,Charles LECLERC,Ferrari
2834,9507,23,Alexander ALBON,Williams
2926,9515,4,Lando NORRIS,McLaren
2930,9515,16,Charles LECLERC,Ferrari
2934,9515,23,Alexander ALBON,Williams
3026,9523,4,Lando NORRIS,McLaren
3030,9523,16,Charles LECLERC,Ferrari
3034,9523,23,Alexander ALBON,Williams
3126,9531,4,Lando NORRIS,McLaren
3130,9531,16,Charles LECLERC,Ferrari
3134,9531,23,Alexander ALBON,Williams
3226,9539,4,Lando NORRIS,McLaren
3230,9539,16,Charles LECLERC,Ferrari
3234,9539,23,Alexander ALBON,Williams
3326,9550,4,Lando NORRIS,McLaren
3330,9550,16,Charles LECLERC,Ferrari
3334,9550,23,Alexander ALBON,Williams
3426,9558,4,Lando NORRIS,McLaren
3430,9558,16,Charles LECLERC,Ferrari
3434,9558,23,Alexander ALBON,Williams
3526,9566,4,Lando NORRIS,McLaren
3530,9566,16,Charles LECLERC,Ferrari
3534,9566,23,Alexander ALBON,Williams
3626,9574,4,Lando NORRIS,McLaren
3630,9574,16,Charles LECLERC,Ferrari
3634,9574,23,Alexander ALBON,Williams
3726,9582,4,Lando NORRIS,McLaren
3730,9582,16,Charles LECLERC,Ferrari
3734,9582,23,Alexander ALBON,Williams
3825,9590,4,Lando NORRIS,McLaren
3829,9590,16,Charles LECLERC,Ferrari
3833,9590,23,Alexander ALBON,Williams
3925,9598,4,Lando NORRIS,McLaren
3929,9598,16,Charles LECLERC,Ferrari
3932,9598,23,Alexander ALBON,Williams
4025,9606,4,Lando NORRIS,McLaren
4029,9606,16,Charles LECLERC,Ferrari
4033,9606,23,Alexander ALBON,Williams
4124,9617,4,Lando NORRIS,McLaren
4128,9617,16,Charles LECLERC,Ferrari
4132,9617,23,Alexander ALBON,Williams
4224,9625,4,Lando NORRIS,McLaren
4228,9625,16,Charles LECLERC,Ferrari
4232,9625,23,Alexander ALBON,Williams
4324,9636,4,Lando NORRIS,McLaren
4328,9636,16,Charles LECLERC,Ferrari
4331,9636,23,Alexander ALBON,Williams
4424,9644,4,Lando NORRIS,McLaren
4428,9644,16,Charles LECLERC,Ferrari
4432,9644,23,Alexander ALBON,Williams
4524,9655,4,Lando NORRIS,McLaren
4528,9655,16,Charles LECLERC,Ferrari
4532,9655,23,Alexander ALBON,Williams
4624,9662,4,Lando NORRIS,McLaren
4628,9662,16,Charles LECLERC,Ferrari
4632,9662,23,Alexander ALBON,Williams
